condition,rep,signal,peak_median_ratio,peak_period,evalue_null_mean
null,31,individual_inter_event,11.17,2.2,0.9988
null,31,individual_turbidity,12.48,4.9,0.9984
null,31,individual_dissolved_oxygen,10.97,45.7,1.0000
null,31,composed_evalue,9.94,2.1,1.0057
null,31,standardized_sum,13.65,35.0,
null,32,individual_temperature,11.54,5.5,0.9934
null,32,individual_fish_count,12.72,8.0,0.9969
null,32,individual_inter_event,13.25,3.5,0.9982
null,32,individual_turbidity,13.27,9.8,0.9996
null,32,individual_dissolved_oxygen,13.92,2.3,0.9980
null,32,composed_evalue,13.29,3.3,0.9875
null,32,standardized_sum,13.98,10.5,
null,33,individual_temperature,14.16,2.2,1.0017
null,33,individual_fish_count,12.78,29.9,0.9969
null,33,individual_inter_event,12.27,12.8,0.9998
null,33,individual_turbidity,11.89,3.3,1.0006
null,33,individual_dissolved_oxygen,14.84,3.2,1.0010
null,33,composed_evalue,13.21,2.1,1.0026
null,33,standardized_sum,11.98,22.5,
null,34,individual_temperature,13.68,5.8,1.0039
null,34,individual_fish_count,15.86,2.8,0.9987
null,34,individual_inter_event,11.87,40.3,0.9998
null,34,individual_turbidity,17.11,3.1,1.0000
null,34,individual_dissolved_oxygen,12.22,8.6,0.9996
null,34,composed_evalue,18.18,80.6,0.9996
null,34,standardized_sum,17.03,80.6,
null,35,individual_temperature,13.04,7.2,1.0013
null,35,individual_fish_count,10.31,91.7,1.0021
null,35,individual_inter_event,11.10,7.7,0.9995
null,35,individual_turbidity,14.62,3.8,0.9979
null,35,individual_dissolved_oxygen,15.22,7.6,0.9992
null,35,composed_evalue,18.55,6.0,0.9973
null,35,standardized_sum,11.46,2.2,
null,36,individual_temperature,13.42,22.3,0.9990
null,36,individual_fish_count,12.04,4.4,0.9973
null,36,individual_inter_event,14.73,5.1,0.9999
null,36,individual_turbidity,14.22,2.6,0.9987
null,36,individual_dissolved_oxygen,12.69,4.0,1.0019
null,36,composed_evalue,12.97,4.4,0.9978
null,36,standardized_sum,13.01,3.2,
null,37,individual_temperature,14.12,2.5,0.9989
null,37,individual_fish_count,11.17,4.4,0.9977
null,37,individual_inter_event,13.73,3.1,1.0007
null,37,individual_turbidity,14.23,2.9,0.9984
null,37,individual_dissolved_oxygen,11.07,59.5,1.0000
null,37,composed_evalue,12.48,22.2,0.9964
null,37,standardized_sum,13.13,2.3,
null,38,individual_temperature,11.83,232.6,1.0006
null,38,individual_fish_count,13.21,5.6,0.9974
null,38,individual_inter_event,13.26,2.7,1.0000
null,38,individual_turbidity,14.23,2.4,1.0020
null,38,individual_dissolved_oxygen,11.93,15.9,0.9988
null,38,composed_evalue,12.16,2.0,0.9981
null,38,standardized_sum,12.59,7.3,
null,39,individual_temperature,11.89,3.9,0.9981
null,39,individual_fish_count,10.90,3.0,0.9997
null,39,individual_inter_event,12.15,3.4,1.0005
null,39,individual_turbidity,16.21,6.9,0.9997
null,39,individual_dissolved_oxygen,15.83,3.4,0.9991
null,39,composed_evalue,18.62,26.0,0.9954
null,39,standardized_sum,11.47,4.4,
null,40,individual_temperature,13.17,3.3,0.9983
null,40,individual_fish_count,11.99,2.1,0.9993
null,40,individual_inter_event,12.48,5.3,0.9994
null,40,individual_turbidity,12.57,13.3,1.0007
null,40,individual_dissolved_oxygen,13.64,13.0,0.9989
null,40,composed_evalue,12.08,285.7,0.9954
null,40,standardized_sum,14.02,2.6,
null,41,individual_temperature,15.74,10.4,0.9982
null,41,individual_fish_count,12.41,7.1,0.9994
null,41,individual_inter_event,11.77,53.5,1.0001
null,41,individual_turbidity,14.75,5.6,1.0004
null,41,individual_dissolved_oxygen,14.24,3.0,1.0031
null,41,composed_evalue,16.14,2.7,1.0017
null,41,standardized_sum,12.95,2.4,
null,42,individual_temperature,11.03,2.7,0.9965
null,42,individual_fish_count,12.62,3.4,1.0017
null,42,individual_inter_event,11.82,14.1,1.0012
null,42,individual_turbidity,13.67,3.3,1.0001
null,42,individual_dissolved_oxygen,13.27,2.3,1.0023
null,42,composed_evalue,13.38,3.7,1.0040
null,42,standardized_sum,14.88,3.1,
null,43,individual_temperature,12.12,8.0,0.9940
null,43,individual_fish_count,14.10,2.6,0.9973
null,43,individual_inter_event,13.16,34.0,1.0001
null,43,individual_turbidity,14.43,14.8,1.0003
null,43,individual_dissolved_oxygen,11.29,2.1,1.0028
null,43,composed_evalue,17.56,3.6,0.9939
null,43,standardized_sum,15.22,6.2,
null,44,individual_temperature,11.68,2.7,0.9983
null,44,individual_fish_count,12.96,32.2,1.0024
null,44,individual_inter_event,19.86,5.6,0.9992
null,44,individual_turbidity,13.37,2.1,1.0019
null,44,individual_dissolved_oxygen,12.26,149.3,1.0012
null,44,composed_evalue,12.45,6.0,1.0023
null,44,standardized_sum,14.75,6.0,
null,45,individual_temperature,11.54,2.6,0.9979
null,45,individual_fish_count,21.60,3.4,1.0002
null,45,individual_inter_event,11.25,2.4,0.9991
null,45,individual_turbidity,14.48,3.7,1.0006
null,45,individual_dissolved_oxygen,10.54,2.3,0.9949
null,45,composed_evalue,12.79,2.5,0.9914
null,45,standardized_sum,14.16,4.6,
null,46,individual_temperature,12.53,3.1,1.0019
null,46,individual_fish_count,13.04,10.7,0.9995
null,46,individual_inter_event,11.86,19.3,1.0015
null,46,individual_turbidity,15.05,6.8,1.0018
null,46,individual_dissolved_oxygen,13.92,3.1,0.9979
null,46,composed_evalue,16.77,3.3,1.0030
null,46,standardized_sum,15.91,2.1,
null,47,individual_temperature,12.72,12.6,0.9983
null,47,individual_fish_count,18.19,5.0,1.0009
null,47,individual_inter_event,13.45,3.0,1.0010
null,47,individual_turbidity,13.04,2.2,0.9983
null,47,individual_dissolved_oxygen,12.98,4.2,1.0002
null,47,composed_evalue,12.73,4.0,0.9992
null,47,standardized_sum,12.06,2.2,
null,48,individual_temperature,12.58,2.6,0.9971
null,48,individual_fish_count,12.06,46.1,1.0019
null,48,individual_inter_event,11.82,2.8,0.9992
null,48,individual_turbidity,12.76,34.0,1.0001
null,48,individual_dissolved_oxygen,12.24,3.0,0.9997
null,48,composed_evalue,14.53,4.3,0.9969
null,48,standardized_sum,12.14,8.4,
null,49,individual_temperature,12.68,7.6,0.9997
null,49,individual_fish_count,12.35,6.8,0.9993
null,49,individual_inter_event,15.78,31.0,1.0003
null,49,individual_turbidity,13.88,4.2,0.9993
null,49,individual_dissolved_oxygen,13.92,2.0,1.0019
null,49,composed_evalue,11.89,2.0,1.0034
null,49,standardized_sum,13.36,45.9,
null,50,individual_temperature,16.22,3.2,1.0021
null,50,individual_fish_count,13.78,4.6,0.9997
null,50,individual_inter_event,12.19,7.2,0.9986
null,50,individual_turbidity,12.25,4.7,0.9993
null,50,individual_dissolved_oxygen,13.14,3.1,1.0002
null,50,composed_evalue,15.37,2.0,1.0017
null,50,standardized_sum,13.98,17.4,
null,51,individual_temperature,11.36,3.3,1.0046
null,51,individual_fish_count,13.09,2.1,0.9996
null,51,individual_inter_event,14.28,3.9,1.0001
null,51,individual_turbidity,13.88,8.6,0.9984
null,51,individual_dissolved_oxygen,11.66,4.9,0.9976
null,51,composed_evalue,15.07,2.0,0.9966
null,51,standardized_sum,12.28,4.9,
null,52,individual_temperature,12.48,8.3,1.0009
null,52,individual_fish_count,12.27,4.7,1.0015
null,52,individual_inter_event,11.82,2.1,1.0005
null,52,individual_turbidity,16.16,15.8,0.9985
null,52,individual_dissolved_oxygen,10.95,11.1,0.9997
null,52,composed_evalue,12.11,2.9,1.0028
null,52,standardized_sum,11.29,78.1,
null,53,individual_temperature,12.43,2.8,1.0055
null,53,individual_fish_count,10.32,2.3,1.0069
null,53,individual_inter_event,15.17,5.6,1.0006
null,53,individual_turbidity,16.53,2.2,0.9995
null,53,individual_dissolved_oxygen,11.99,4.2,1.0010
null,53,composed_evalue,12.25,6.3,1.0154
null,53,standardized_sum,12.27,8.1,
null,54,individual_temperature,15.04,2.0,1.0065
null,54,individual_fish_count,14.25,5.0,0.9979
null,54,individual_inter_event,10.72,18.7,0.9999
null,54,individual_turbidity,14.52,6.0,1.0000
null,54,individual_dissolved_oxygen,12.64,3.8,1.0012
null,54,composed_evalue,13.58,2.0,1.0050
null,54,standardized_sum,11.35,3.7,
null,55,individual_temperature,13.34,3.6,1.0022
null,55,individual_fish_count,16.64,10.6,0.9971
null,55,individual_inter_event,12.03,2.5,1.0003
null,55,individual_turbidity,11.52,5.1,1.0001
null,55,individual_dissolved_oxygen,12.34,217.4,1.0024
null,55,composed_evalue,11.65,2.1,1.0019
null,55,standardized_sum,11.45,11.8,
null,56,individual_temperature,11.01,2.2,0.9984
null,56,individual_fish_count,14.08,2.0,0.9968
null,56,individual_inter_event,11.41,3.7,1.0008
null,56,individual_turbidity,13.89,14.9,1.0012
null,56,individual_dissolved_oxygen,17.82,4.5,1.0004
null,56,composed_evalue,13.74,2.2,0.9989
null,56,standardized_sum,12.54,30.4,
null,57,individual_temperature,16.53,2.3,0.9929
null,57,individual_fish_count,18.57,2.7,1.0058
null,57,individual_inter_event,10.59,2.5,0.9994
null,57,individual_turbidity,14.78,19.0,1.0002
null,57,individual_dissolved_oxygen,11.46,2.0,1.0027
null,57,composed_evalue,10.87,58.8,1.0002
null,57,standardized_sum,13.27,7.8,
null,58,individual_temperature,11.07,14.5,0.9961
null,58,individual_fish_count,14.42,2.9,0.9954
null,58,individual_inter_event,12.88,2.1,0.9994
null,58,individual_turbidity,14.77,2.8,1.0002
null,58,individual_dissolved_oxygen,12.44,4.0,0.9993
null,58,composed_evalue,12.94,3.7,0.9913
null,58,standardized_sum,10.61,3.4,
null,59,individual_temperature,12.31,51.8,0.9999
null,59,individual_fish_count,13.83,4.0,0.9944
null,59,individual_inter_event,13.32,3.3,1.0003
null,59,individual_turbidity,11.79,4.1,0.9980
null,59,individual_dissolved_oxygen,14.97,6.2,0.9990
null,59,composed_evalue,10.98,5.1,0.9914
null,59,standardized_sum,16.71,6.7,
null,60,individual_temperature,12.17,2.7,1.0033
null,60,individual_fish_count,14.91,8.5,1.0011
null,60,individual_inter_event,15.07,25.1,1.0014
null,60,individual_turbidity,11.47,2.5,1.0014
null,60,individual_dissolved_oxygen,15.40,54.9,1.0002
null,60,composed_evalue,13.41,2.3,1.0095
null,60,standardized_sum,15.37,2.3,
null,61,individual_temperature,13.38,7.6,1.0002
null,61,individual_fish_count,11.16,3.3,1.0036
null,61,individual_inter_event,21.53,7.4,0.9996
null,61,individual_turbidity,12.44,3.9,1.0015
null,61,individual_dissolved_oxygen,14.15,4.9,0.9987
null,61,composed_evalue,13.41,2.0,1.0018
null,61,standardized_sum,13.87,29.9,
null,62,individual_temperature,16.82,2.3,0.9990
null,62,individual_fish_count,15.11,2.6,0.9989
null,62,individual_inter_event,12.60,2.2,1.0008
null,62,individual_turbidity,12.49,2.8,0.9998
null,62,individual_dissolved_oxygen,11.45,2.3,1.0019
null,62,composed_evalue,15.36,15.5,0.9983
null,62,standardized_sum,12.92,2.6,
null,63,individual_temperature,15.00,2.1,0.9988
null,63,individual_fish_count,13.39,2.9,1.0031
null,63,individual_inter_event,10.66,10.2,1.0001
null,63,individual_turbidity,11.45,208.3,0.9990
null,63,individual_dissolved_oxygen,11.39,8.3,0.9990
null,63,composed_evalue,15.72,2.1,0.9980
null,63,standardized_sum,16.36,5.4,
null,64,individual_temperature,12.39,6.1,0.9977
null,64,individual_fish_count,17.73,5.5,0.9964
null,64,individual_inter_event,12.84,22.9,1.0003
null,64,individual_turbidity,10.20,76.3,1.0008
null,64,individual_dissolved_oxygen,13.14,4.7,1.0009
null,64,composed_evalue,14.11,3.2,0.9949
null,64,standardized_sum,12.63,4.4,
null,65,individual_temperature,11.16,3.4,1.0010
null,65,individual_fish_count,15.56,2.9,0.9987
null,65,individual_inter_event,10.58,5.7,1.0006
null,65,individual_turbidity,14.19,17.2,0.9988
null,65,individual_dissolved_oxygen,13.31,3.4,0.9982
null,65,composed_evalue,10.83,2.1,0.9977
null,65,standardized_sum,12.99,2.6,
null,66,individual_temperature,9.78,263.2,0.9963
null,66,individual_fish_count,13.35,2.3,1.0008
null,66,individual_inter_event,10.72,2.5,0.9987
null,66,individual_turbidity,12.60,3.3,0.9984
null,66,individual_dissolved_oxygen,13.85,5.1,1.0003
null,66,composed_evalue,14.22,5.4,0.9932
null,66,standardized_sum,13.04,2.3,
null,67,individual_temperature,12.10,16.8,1.0055
null,67,individual_fish_count,12.17,2.6,1.0002
null,67,individual_inter_event,11.21,3.7,0.9997
null,67,individual_turbidity,13.83,2.5,0.9998
null,67,individual_dissolved_oxygen,11.59,227.3,1.0009
null,67,composed_evalue,14.93,8.8,1.0068
null,67,standardized_sum,14.81,2.3,
null,68,individual_temperature,12.26,5.2,1.0083
null,68,individual_fish_count,13.77,2.4,0.9986
null,68,individual_inter_event,12.75,14.2,1.0008
null,68,individual_turbidity,12.70,3.0,0.9994
null,68,individual_dissolved_oxygen,10.01,2.4,1.0031
null,68,composed_evalue,14.55,2.1,1.0110
null,68,standardized_sum,15.80,6.1,
null,69,individual_temperature,14.30,18.7,0.9989
null,69,individual_fish_count,12.63,9.3,1.0005
null,69,individual_inter_event,13.25,7.9,0.9994
null,69,individual_turbidity,13.22,2.6,0.9997
null,69,individual_dissolved_oxygen,12.42,14.6,0.9975
null,69,composed_evalue,16.65,5.7,0.9943
null,69,standardized_sum,13.20,4.7,
null,70,individual_temperature,15.79,5.8,1.0080
null,70,individual_fish_count,11.33,7.6,0.9996
null,70,individual_inter_event,13.63,5.8,1.0002
null,70,individual_turbidity,10.59,9.6,0.9985
null,70,individual_dissolved_oxygen,11.97,3.2,1.0025
null,70,composed_evalue,14.68,3.2,1.0079
null,70,standardized_sum,12.74,5.8,
null,71,individual_temperature,12.85,2.3,1.0031
null,71,individual_fish_count,14.61,2.2,1.0021
null,71,individual_inter_event,12.23,2.0,1.0002
null,71,individual_turbidity,12.64,94.3,1.0023
null,71,individual_dissolved_oxygen,15.46,5.2,1.0016
null,71,composed_evalue,13.48,5.3,1.0097
null,71,standardized_sum,14.89,2.6,
null,72,individual_temperature,11.15,3.7,0.9999
null,72,individual_fish_count,12.45,5.3,0.9999
null,72,individual_inter_event,12.24,3.2,1.0010
null,72,individual_turbidity,11.09,8.7,0.9985
null,72,individual_dissolved_oxygen,11.44,3.0,1.0005
null,72,composed_evalue,12.47,2.1,1.0005
null,72,standardized_sum,13.55,4.3,
null,73,individual_temperature,16.02,2.8,0.9993
null,73,individual_fish_count,12.36,9.1,1.0020
null,73,individual_inter_event,11.83,20.1,0.9989
null,73,individual_turbidity,16.28,4.4,1.0014
null,73,individual_dissolved_oxygen,13.22,4.3,0.9967
null,73,composed_evalue,16.00,2.8,0.9971
null,73,standardized_sum,11.75,2.0,
null,74,individual_temperature,12.78,5.0,1.0036
null,74,individual_fish_count,14.73,2.0,0.9979
null,74,individual_inter_event,13.43,3.5,1.0004
null,74,individual_turbidity,12.48,2.9,0.9992
null,74,individual_dissolved_oxygen,13.60,2.8,1.0050
null,74,composed_evalue,15.03,3.9,1.0042
null,74,standardized_sum,15.73,27.6,
null,75,individual_temperature,11.25,2.9,0.9983
null,75,individual_fish_count,14.27,3.1,1.0000
null,75,individual_inter_event,13.72,2.0,0.9998
null,75,individual_turbidity,10.35,37.5,0.9999
null,75,individual_dissolved_oxygen,12.50,8.7,0.9983
null,75,composed_evalue,10.26,3.6,0.9976
null,75,standardized_sum,11.78,2.2,
null,76,individual_temperature,13.42,4.4,0.9964
null,76,individual_fish_count,13.33,4.0,1.0013
null,76,individual_inter_event,11.66,7.7,1.0011
null,76,individual_turbidity,14.80,2.3,0.9982
null,76,individual_dissolved_oxygen,10.50,7.3,1.0084
null,76,composed_evalue,11.74,4.4,1.0035
null,76,standardized_sum,13.17,4.4,
null,77,individual_temperature,10.01,7.3,0.9977
null,77,individual_fish_count,12.46,5.8,0.9945
null,77,individual_inter_event,14.79,10.8,1.0003
null,77,individual_turbidity,14.20,2.7,0.9994
null,77,individual_dissolved_oxygen,13.17,2.2,0.9995
null,77,composed_evalue,13.01,2.2,0.9929
null,77,standardized_sum,12.74,2.5,
null,78,individual_temperature,11.86,2.4,1.0031
null,78,individual_fish_count,11.81,2.8,0.9994
null,78,individual_inter_event,12.20,2.2,0.9997
null,78,individual_turbidity,11.88,7.8,0.9992
null,78,individual_dissolved_oxygen,11.06,5.4,1.0001
null,78,composed_evalue,14.38,123.5,1.0009
null,78,standardized_sum,10.87,6.8,
null,79,individual_temperature,11.78,2.1,1.0025
null,79,individual_fish_count,14.24,2.7,1.0036
null,79,individual_inter_event,12.34,2.1,1.0008
null,79,individual_turbidity,11.13,2.7,0.9991
null,79,individual_dissolved_oxygen,14.24,9.4,0.9997
null,79,composed_evalue,11.46,2.7,1.0040
null,79,standardized_sum,14.25,6.2,
null,80,individual_temperature,11.40,2.5,0.9950
null,80,individual_fish_count,14.67,2.2,1.0066
null,80,individual_inter_event,13.97,10.4,0.9994
null,80,individual_turbidity,12.39,91.7,0.9995
null,80,individual_dissolved_oxygen,13.59,13.8,0.9984
null,80,composed_evalue,13.06,2.5,0.9967
null,80,standardized_sum,17.37,2.3,
null,81,individual_temperature,12.05,3.7,0.9983
null,81,individual_fish_count,11.48,2.1,1.0030
null,81,individual_inter_event,13.99,2.7,1.0000
null,81,individual_turbidity,15.01,47.8,1.0000
null,81,individual_dissolved_oxygen,13.88,2.8,1.0003
null,81,composed_evalue,10.81,2.4,0.9983
null,81,standardized_sum,10.08,2.8,
null,82,individual_temperature,12.42,2.1,1.0020
null,82,individual_fish_count,12.76,2.9,1.0035
null,82,individual_inter_event,11.30,2.6,1.0002
null,82,individual_turbidity,11.33,5.9,0.9988
null,82,individual_dissolved_oxygen,13.61,2.6,0.9992
null,82,composed_evalue,10.35,3.7,1.0069
null,82,standardized_sum,12.89,13.5,
null,83,individual_temperature,11.09,2.0,1.0017
null,83,individual_fish_count,12.35,6.7,1.0001
null,83,individual_inter_event,15.49,3.2,0.9992
null,83,individual_turbidity,11.23,2.0,0.9996
null,83,individual_dissolved_oxygen,14.03,4.1,1.0042
null,83,composed_evalue,13.73,2.5,1.0029
null,83,standardized_sum,13.77,24.3,
null,84,individual_temperature,11.04,4.6,0.9988
null,84,individual_fish_count,11.48,6.9,1.0002
null,84,individual_inter_event,15.19,4.6,0.9996
null,84,individual_turbidity,12.74,3.8,1.0001
null,84,individual_dissolved_oxygen,13.79,79.4,1.0016
null,84,composed_evalue,12.36,10.0,0.9990
null,84,standardized_sum,13.71,7.2,
null,85,individual_temperature,11.79,2.2,0.9993
null,85,individual_fish_count,12.50,4.4,1.0026
null,85,individual_inter_event,11.27,5.8,0.9996
null,85,individual_turbidity,11.53,5.3,1.0018
null,85,individual_dissolved_oxygen,12.33,6.5,1.0020
null,85,composed_evalue,10.81,2.6,1.0047
null,85,standardized_sum,14.25,4.2,
null,86,individual_temperature,11.84,5.2,0.9977
null,86,individual_fish_count,20.32,7.4,0.9997
null,86,individual_inter_event,12.11,2.2,1.0008
null,86,individual_turbidity,11.68,3.7,0.9995
null,86,individual_dissolved_oxygen,18.33,3.8,1.0008
null,86,composed_evalue,15.40,4.1,0.9976
null,86,standardized_sum,11.67,3.7,
null,87,individual_temperature,12.20,23.3,0.9995
null,87,individual_fish_count,14.18,5.1,0.9963
null,87,individual_inter_event,12.11,6.0,1.0010
null,87,individual_turbidity,13.60,5.9,0.9992
null,87,individual_dissolved_oxygen,14.47,4.2,0.9967
null,87,composed_evalue,12.78,4.2,0.9935
null,87,standardized_sum,16.13,11.7,
null,88,individual_temperature,11.86,15.5,1.0019
null,88,individual_fish_count,12.38,9.4,1.0044
null,88,individual_inter_event,16.86,2.7,1.0013
null,88,individual_turbidity,22.53,4.8,1.0017
null,88,individual_dissolved_oxygen,14.33,5.7,1.0001
null,88,composed_evalue,11.99,2.3,1.0093
null,88,standardized_sum,12.19,3.5,
null,89,individual_temperature,13.00,2.2,1.0008
null,89,individual_fish_count,13.40,2.1,1.0008
null,89,individual_inter_event,11.37,2.1,0.9985
null,89,individual_turbidity,15.25,21.9,0.9996
null,89,individual_dissolved_oxygen,14.86,31.9,1.0001
null,89,composed_evalue,12.16,4.1,1.0010
null,89,standardized_sum,10.72,2.5,
null,90,individual_temperature,10.62,25.4,1.0037
null,90,individual_fish_count,12.21,24.2,1.0004
null,90,individual_inter_event,11.68,80.6,0.9992
null,90,individual_turbidity,12.86,6.4,0.9999
null,90,individual_dissolved_oxygen,16.81,18.0,0.9957
null,90,composed_evalue,12.68,2.2,0.9985
null,90,standardized_sum,13.04,2.1,
null,91,individual_temperature,10.77,2.4,0.9945
null,91,individual_fish_count,12.12,3.8,0.9977
null,91,individual_inter_event,13.13,2.4,0.9992
null,91,individual_turbidity,13.06,2.0,1.0000
null,91,individual_dissolved_oxygen,16.48,5.1,0.9985
null,91,composed_evalue,11.36,6.4,0.9891
null,91,standardized_sum,15.76,3.8,
null,92,individual_temperature,12.57,2.8,1.0022
null,92,individual_fish_count,12.81,3.7,0.9981
null,92,individual_inter_event,13.32,3.5,1.0009
null,92,individual_turbidity,10.14,16.6,1.0000
null,92,individual_dissolved_oxygen,13.05,2.0,0.9998
null,92,composed_evalue,14.07,7.4,1.0011
null,92,standardized_sum,12.30,7.8,
null,93,individual_temperature,12.06,4.9,0.9976
null,93,individual_fish_count,11.24,11.8,0.9986
null,93,individual_inter_event,10.45,18.1,0.9987
null,93,individual_turbidity,14.21,3.3,1.0016
null,93,individual_dissolved_oxygen,15.40,2.8,0.9999
null,93,composed_evalue,14.78,3.7,0.9981
null,93,standardized_sum,12.33,2.4,
null,94,individual_temperature,11.57,72.5,0.9952
null,94,individual_fish_count,13.90,2.2,0.9986
null,94,individual_inter_event,10.95,3.0,1.0004
null,94,individual_turbidity,13.76,5.7,1.0000
null,94,individual_dissolved_oxygen,11.35,3.3,0.9984
null,94,composed_evalue,11.93,2.1,0.9927
null,94,standardized_sum,10.82,3.5,
null,95,individual_temperature,11.57,3.2,1.0032
null,95,individual_fish_count,15.55,5.2,1.0009
null,95,individual_inter_event,12.92,17.7,1.0004
null,95,individual_turbidity,14.90,5.5,0.9986
null,95,individual_dissolved_oxygen,12.54,2.2,1.0047
null,95,composed_evalue,11.35,2.5,1.0083
null,95,standardized_sum,12.82,2.0,
null,96,individual_temperature,13.88,4.7,1.0023
null,96,individual_fish_count,12.29,2.6,0.9976
null,96,individual_inter_event,11.69,2.2,1.0002
null,96,individual_turbidity,12.29,2.1,0.9998
null,96,individual_dissolved_oxygen,15.58,5.1,0.9983
null,96,composed_evalue,10.52,7.9,1.0001
null,96,standardized_sum,10.73,5.4,
null,97,individual_temperature,11.02,4.2,0.9979
null,97,individual_fish_count,11.19,7.9,1.0025
null,97,individual_inter_event,12.43,2.5,0.9997
null,97,individual_turbidity,11.34,3.6,0.9990
null,97,individual_dissolved_oxygen,12.92,3.7,1.0000
null,97,composed_evalue,17.56,5.4,1.0007
null,97,standardized_sum,11.34,2.5,
null,98,individual_temperature,14.76,6.7,0.9995
null,98,individual_fish_count,16.51,17.7,1.0032
null,98,individual_inter_event,12.86,2.2,0.9995
null,98,individual_turbidity,12.99,4.0,1.0001
null,98,individual_dissolved_oxygen,11.90,2.6,1.0017
null,98,composed_evalue,14.79,3.3,1.0018
null,98,standardized_sum,11.11,4.5,
null,99,individual_temperature,11.28,3.6,1.0023
null,99,individual_fish_count,13.38,10.2,0.9972
null,99,individual_inter_event,10.71,3.6,1.0003
null,99,individual_turbidity,13.41,5.8,1.0001
null,99,individual_dissolved_oxygen,11.77,4.5,0.9988
null,99,composed_evalue,12.84,5.1,0.9999
null,99,standardized_sum,15.79,46.1,
